date,contract,contract_month,session,open,high,low,last,change,change_percent,volume,settlement_price,open_interest,best_bid,best_ask,historical_high,historical_low
2020-04-08,TX,202012,Regular,9356,9521,9347,9521,116,1.23,21,9521,725,9527,9534,11688,7655
2020-04-08,TX,202012,After-Hours,9477,9574,9400,9400,-5,-0.05,50,,,9392,9400,11688,7655
2020-04-08,TX,202103,Regular,9271,9444,9271,9428,128,1.38,21,9428,139,9434,9440,9499,7591
2020-04-08,TX,202103,After-Hours,9393,9478,9300,9300,0,0,32,,,9299,9307,9499,7591
2020-04-09,TX,202004,Regular,10131,10197,10028,10101,-21,-0.21,135819,10100,80629,10099,10101,12103,8268
2020-04-09,TX,202004,After-Hours,10077,10146,10008,10136,14,0.14,67290,,,10136,10139,12103,8268
2020-04-09,TX,202005,Regular,10081,10142,9963,10031,-42,-0.42,6146,10027,15953,10026,10030,11776,8212
2020-04-09,TX,202005,After-Hours,10030,10090,9958,10082,9,0.09,1112,,,10081,10087,11776,8212
2020-04-09,TX,202006,Regular,10020,10072,9910,9967,-52,-0.52,792,9966,6496,9966,9969,12115,8150
2020-04-09,TX,202006,After-Hours,9964,10015,9913,10015,-4,-0.04,109,,,10024,10030,12115,8150
2020-04-09,TX,202009,Regular,9635,9679,9532,9575,-52,-0.54,54,9575,1095,9576,9580,11739,7782
2020-04-09,TX,202009,After-Hours,9559,9627,9550,9627,0,0,10,,,9635,9642,11739,7782
2020-04-09,TX,202012,Regular,9592,9592,9423,9498,-23,-0.24,38,9479,723,9476,9483,11688,7655
2020-04-09,TX,202012,After-Hours,9433,9536,9433,9536,15,0.16,9,,,9537,9544,11688,7655
2020-04-09,TX,202103,Regular,9415,9495,9330,9377,-51,-0.54,36,9377,162,9376,9388,9499,7591
2020-04-09,TX,202103,After-Hours,9343,9445,9334,9445,17,0.18,9,,,9444,9450,9499,7591
2020-04-10,TX,202004,Regular,10038,10140,10030,10133,33,0.33,74244,10133,79143,10132,10134,12103,8268
2020-04-10,TX,202004,After-Hours,10105,10140,9985,10042,-58,-0.57,74222,,,10041,10043,12103,8268
2020-04-10,TX,202005,Regular,9978,10050,9961,10046,19,0.19,5274,10046,19903,10044,10047,11776,8212
2020-04-10,TX,202005,After-Hours,10049,10065,9913,9962,-65,-0.65,1722,,,9956,9960,11776,8212
2020-04-10,TX,202006,Regular,9915,9986,9900,9979,13,0.13,165,9979,6615,9980,9987,12115,8150
2020-04-10,TX,202006,After-Hours,9992,10002,9851,9895,-71,-0.71,107,,,9902,9907,12115,8150
2020-04-10,TX,202009,Regular,9567,9600,9543,9591,16,0.17,19,9591,1098,9588,9595,11739,7782
2020-04-10,TX,202009,After-Hours,9603,9607,9472,9472,-103,-1.08,16,,,9511,9520,11739,7782
2020-04-10,TX,202012,Regular,9425,9492,9425,9490,11,0.12,26,9490,736,9488,9496,11688,7655
2020-04-10,TX,202012,After-Hours,9505,9510,9382,9382,-97,-1.02,26,,,9409,9422,11688,7655
