date,scenario,equity,net_pnl,return_pct
2024-07-08,conservative_4x_margin,3897577.8480000007,3003115.5319999987,4.080320016304346
2024-07-09,conservative_4x_margin,3891977.8480000007,2997515.5319999987,4.072711320652172
2024-07-10,conservative_4x_margin,3916177.8480000007,3021715.5319999987,4.105591755434781
2024-07-11,conservative_4x_margin,3989977.8480000007,3095515.5319999987,4.205863494565215
2024-07-12,conservative_4x_margin,3878577.8480000007,2984115.5319999987,4.054504798913042
2024-07-15,conservative_4x_margin,3885977.8480000007,2991515.5319999987,4.064559146739128
2024-07-16,conservative_4x_margin,3913885.880000001,3019423.563999999,4.102477668478259
2024-07-17,conservative_4x_margin,3870485.880000001,2976023.563999999,4.043510277173912
2024-07-18,conservative_4x_margin,3792085.880000001,2897623.563999999,3.936988538043477
2024-07-19,conservative_4x_margin,3696085.880000001,2801623.563999999,3.806553755434781
2024-07-22,conservative_4x_margin,3589485.880000001,2695023.563999999,3.6617167989130417
2024-07-23,conservative_4x_margin,3681685.880000001,2787223.563999999,3.786988538043477
2024-07-26,conservative_4x_margin,3533885.880000001,2639423.563999999,3.5861733206521724
2024-07-29,conservative_4x_margin,3565885.880000001,2671423.563999999,3.6296515815217374
2024-07-30,conservative_4x_margin,3565085.880000001,2670623.563999999,3.6285646249999983
2024-07-31,conservative_4x_margin,3571485.880000001,2677023.563999999,3.6372602771739113
2024-08-01,conservative_4x_margin,3646685.880000001,2752223.563999999,3.7394341902173895
2024-08-02,conservative_4x_margin,3419885.880000001,2525423.563999999,3.4312820163043463
2024-08-05,conservative_4x_margin,2989485.880000001,2095023.5639999988,2.846499407608694
2024-08-06,conservative_4x_margin,3205685.880000001,2311223.563999999,3.140249407608694
2024-08-07,conservative_4x_margin,3343085.880000001,2448623.563999999,3.32693419021739
2024-08-08,conservative_4x_margin,3254285.880000001,2359823.563999999,3.206282016304346
2024-08-09,conservative_4x_margin,3411285.880000001,2516823.563999999,3.419597233695651
2024-08-12,conservative_4x_margin,3449885.880000001,2555423.563999999,3.4720428858695636
2024-08-13,conservative_4x_margin,3468885.880000001,2574423.563999999,3.497858103260868
2024-08-14,conservative_4x_margin,3513885.880000001,2619423.563999999,3.558999407608694
2024-08-15,conservative_4x_margin,3482685.880000001,2588223.563999999,3.516608103260868
2024-08-16,conservative_4x_margin,3587685.880000001,2693223.563999999,3.659271146739129
2024-08-19,conservative_4x_margin,3586885.880000001,2692423.563999999,3.6581841902173897
2024-08-20,conservative_4x_margin,3601006.656000001,2706544.339999999,3.6773700271739114
2024-08-21,conservative_4x_margin,3560806.656000001,2666344.339999999,3.62275046195652
2024-08-22,conservative_4x_margin,3540406.656000001,2645944.339999999,3.5950330706521725
2024-08-23,conservative_4x_margin,3545006.656000001,2650544.339999999,3.6012830706521726
2024-08-26,conservative_4x_margin,3562406.656000001,2667944.339999999,3.6249243749999986
2024-08-27,conservative_4x_margin,3550806.656000001,2656344.339999999,3.6091635054347813
2024-08-28,conservative_4x_margin,3601406.656000001,2706944.339999999,3.6779135054347813
2024-08-29,conservative_4x_margin,3553806.656000001,2659344.339999999,3.6132395923913028
2024-08-30,conservative_4x_margin,3584006.656000001,2689544.339999999,3.6542722010869553
2024-09-02,conservative_4x_margin,3562806.656000001,2668344.339999999,3.625467853260868
2024-09-03,conservative_4x_margin,3530606.656000001,2636144.339999999,3.581717853260868
2024-09-04,conservative_4x_margin,3308406.656000001,2413944.339999999,3.279815679347825
