date,daily_points,cumulative_points
2022-04-26,13,6518.90718
2022-04-27,-298,6220.90718
2022-04-28,101,6321.90718
2022-04-29,193,6514.90718
2022-05-03,-109,6405.90718
2022-05-04,47,6452.90718
2022-05-05,166,6618.90718
2022-05-06,-329,6289.90718
2022-05-09,-329,5960.90718
2022-05-10,11,5971.90718
2022-05-11,-31,5940.90718
2022-05-12,-377,5563.90718
2022-05-13,219,5782.90718
2022-05-16,73,5855.90718
2022-05-17,149.85884,6005.76602
2022-05-18,169,6174.76602
2022-05-19,-287,5887.76602
2022-05-20,225,6112.76602
2022-05-23,7,6119.76602
2022-05-24,-217,5902.76602
2022-05-25,135,6037.76602
2022-05-26,-111,5926.76602
2022-05-27,279,6205.76602
2022-05-30,330,6535.76602
2022-05-31,122,6657.76602
2022-06-01,-73,6584.76602
2022-06-02,-75,6509.76602
2022-06-06,67,6576.76602
2022-06-07,-139,6437.76602
2022-06-08,180,6617.76602
2022-06-09,-64,6553.76602
2022-06-10,-103,6450.76602
2022-06-13,-424,6026.76602
2022-06-14,-1.1239600000000003,6025.64206
2022-06-15,-53,5972.64206
2022-06-16,-135,5837.64206
2022-06-17,-209,5628.64206
2022-06-20,-171,5457.64206
2022-06-21,315,5772.64206
2022-06-22,-331,5441.64206
2022-06-23,-76,5365.64206
2022-06-24,114,5479.64206
2022-06-27,224,5703.64206
2022-06-28,-83,5620.64206
2022-06-29,-178,5442.64206
2022-06-30,-392,5050.64206
2022-07-01,-449,4601.64206
2022-07-04,-23,4578.64206
2022-07-05,57,4635.64206
2022-07-06,-330,4305.64206
2022-07-07,308,4613.64206
2022-07-08,145,4758.64206
2022-07-11,-54,4704.64206
2022-07-12,-364,4340.64206
2022-07-13,367,4707.64206
2022-07-14,105,4812.64206
2022-07-15,93,4905.64206
2022-07-18,168,5073.64206
2022-07-19,27.919,5101.56106
2022-07-20,87,5188.56106
2022-07-21,135,5323.56106
2022-07-22,8,5331.56106
2022-07-25,38,5369.56106
2022-07-26,-86,5283.56106
2022-07-27,84,5367.56106
2022-07-28,42,5409.56106
